"Pokemon","Fast Move","Charged Move","DPS","TDO","ER","CP"
"Mega Rayquaza","Dragon Tail","Dragon Ascent","29.698","1122.2","73.63","5713"
"Mega Rayquaza","Air Slash","Dragon Ascent","28.503","1077","70.67","5713"
"Mega Mewtwo Y","Confusion","Psystrike","26.51","914.2","64.24","5610"
"Mega Mewtwo Y","Psycho Cut","Psystrike","26.374","909.5","63.91","5610"
"Mega Mewtwo X","Confusion","Psystrike","25.664","885","62.19","5429"
"Mega Mewtwo X","Psycho Cut","Psystrike","25.542","880.8","61.9","5429"
"Shadow Mewtwo","Confusion","Psystrike","25.4","662.7","57.41","4178"
"Shadow Mewtwo","Psycho Cut","Psystrike","25.328","660.8","57.24","4178"
"Mega Mewtwo Y","Confusion","Psychic","24.713","852.2","59.89","5610"
"Mega Mewtwo Y","Psycho Cut","Psychic","24.251","836.3","58.77","5610"
"Mega Rayquaza","Dragon Tail","Outrage","24.146","912.4","59.87","5713"
"Mega Mewtwo X","Confusion","Psychic","23.924","825","57.97","5429"
"Mega Lucario","Counter","Aura Sphere","23.632","582.7","52.66","3826"
"Shadow Mewtwo","Confusion","Psychic","23.63","616.5","53.4","4178"
"Mega Rayquaza","Dragon Tail","Breaking Swipe","23.52","888.7","58.31","5713"
"Mega Mewtwo X","Psycho Cut","Psychic","23.485","809.9","56.91","5429"
"Mega Gengar","Lick","Shadow Ball","23.293","588.1","52.21","4336"
"Shadow Mewtwo","Psycho Cut","Psychic","23.257","606.8","52.56","4178"
"Mega Gengar","Shadow Claw","Shadow Ball","23.224","586.3","52.06","4336"
"Mega Blaziken","Counter","Blast Burn","23.199","604","52.4","4161"
"Mega Alakazam","Confusion","Psychic","23.092","572.8","51.53","4510"
"Rayquaza","Dragon Tail","Dragon Ascent","23.056","674.9","53.63","3835"
"Mega Rayquaza","Air Slash","Outrage","22.979","868.3","56.97","5713"
"Mega Mewtwo Y","Confusion","Shadow Ball","22.927","790.6","55.56","5610"
"Mega Blaziken","Fire Spin","Blast Burn","22.867","595.3","51.65","4161"
"Mega Lucario","Bullet Punch","Aura Sphere","22.867","563.8","50.95","3826"
"Mega Alakazam","Psycho Cut","Psychic","22.687","562.7","50.63","4510"
"Mega Sceptile","Fury Cutter","Frenzy Plant","22.595","589.4","51.06","4056"
"Mega Gengar","Hex","Shadow Ball","22.487","567.7","50.41","4336"
"Mega Mewtwo X","Confusion","Focus Blast","22.475","775.1","54.46","5429"
